"Drawing number","Product name","Client name","区分","材質","加工方法","外注先","板厚","発注№","Note","Drawing","見積書","注文書","ミルシート","作業指示書","検査成績書","不具合管理表","作業見本","製品見本","Registration date","URL"
"3P219155F","取付板","ダイキン工業株式会社","通常","SGCC-ZN12,SGHC-F08t","","","1.20,3.20,1.60","","","1","","","","","","","","","2025-07-30","https://zume-n.com/drawings/10059828"
"4P090805B","PIPE FIXING PLATE","","通常","SCC-C,ZN2C2","","","2","","","1","","","","","","","","","2025-07-30","https://zume-n.com/drawings/10048082"
"3P767985","パッキングケース 印刷品","","通常","パインバー チェアー","","","2","","","1","","","","","","","","","2025-07-30","https://zume-n.com/drawings/10048075"
"3P798974.B","","","通常","WOOD FREE PAPER","","","2.80,3.20,4.13","AS303004,ASB040004","","1","","","","","","","","","2025-07-30","https://zume-n.com/drawings/10048073"
"3P798973C","取付説明書","","通常","WOOD FREE PAPER","","","","","","1","","","","","","","","","2025-07-30","https://zume-n.com/drawings/10048071"
"3P801419","表示銘板","","通常","KKSE5A160,KKSE5A10H,KKSE5A236,KKSE5A360,KKSE5A540,KKSE5A432,KKSE5A344,KKSE5A440,KKSE5A460,KKSE5A480,KKSE244100","","","","3P801419-1AA,3P801419-2AA,3P801419-3AA,3P801419-4AA,3P801419-5AA,3P801419-6AA,3P801419-7AA,3P801419-8AA,3P801419-9AA,3P801419-10AA,3P801419-11AA,3P801419-12B","","1","","","","","","","","","2025-07-30","https://zume-n.com/drawings/10048066"
"3P737945K","PACKING BOX ASSY","","通常","AA,AE,AF","","","20","BN2X5026A,2RZ5X0246","","1","","","","","","","","","2025-07-30","https://zume-n.com/drawings/10048062"
"4P768268C","適用機種リスト","","通常","","","","","","","1","","","","","","","","","2025-07-30","https://zume-n.com/drawings/10048058"
"4P090805A","配管取付板","","通常","SGCC-Z2","","","2","0300488399","","1","","","","","","","","","2025-07-30","https://zume-n.com/drawings/10048054"
"3P396980A","仕切板 （鈑金）","","通常","SPGC-E(F08 t1.0)","","","1","","","1","","","","","","","","","2025-07-30","https://zume-n.com/drawings/10048049"
